"BehaviorSpace results (NetLogo 6.2.1)"
"/home/s1426633/PEKRIS.nlogo"
"SA"
"08/31/2023 09:40:02:466 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","species","chla_supply","vegetation_delay","krill_amount","chla_growth","salp_immigration_probability","salp_mortality","krill_mortality","salp_amount","chla_decay","salp_length","salp_starvation","krill_hibernation","salp_halfsat","krill_halfsat","salp_grazing","max_abundance_salp_season","median_abundance_salp_overall","abundance_krill","mean_length_krill","sum_eggs_krill"
"125","2160","both","Lognorm","58","29","0.371","1.03","3.62","0.049","9","0.0633","2.7","30","19.7","0.256","0.115","0.00145","413","175.5","100","5.04","31872"
"126","2160","krill","Lognorm","31","15","0.217","0.474","2.92","0.049","14","0.0582","2.1","35","23.2","0.155","0.059","0.00275","0","0","84","4.6","30493"
"107","2160","both","Const","47","27","0.28","0.597","2.54","0.08","10","0.0355","3.9","37","16.6","0.123","0.129","0.00175","21184","147856.5","72","6.16","53795"
"117","2160","both","Lognorm","46","40","0.188","0.68","2.71","0.075","10","0.0549","2.7","17","12","0.101","0.086","0.00293","7225","24768.5","6","4.81","0"
"127","2160","krill","Const","65","36","0.131","1.192","1.96","0.038","13","0.0522","1.8","39","23","0.221","0.109","0.00353","0","0","14","6.12","0"
"128","2160","krill","Const","41","31","0.28","1.058","1.26","0.07","9","0.0533","3","26","24.1","0.16","0.127","0.00247","0","0","168","6.81","116804"
"129","2160","both","Const","24","31","0.286","0.919","3.15","0.053","9","0.0714","4","26","15.7","0.178","0.073","0.00165","62","800.5","198","7.24","233748"
"130","2160","krill","Const","24","21","0.284","0.515","3.72","0.078","15","0.0562","2.8","29","10.3","0.142","0.063","0.0018","0","0","571","5.65","299748"
"132","2160","salps","Lognorm","42","21","0.213","0.491","3.05","0.086","7","0.028","1.6","26","12","0.152","0.104","0.00192","389","173","0","0","0"
"98","2160","salps","Lognorm","37","28","0.321","0.541","1.64","0.098","12","0.0452","3.5","34","14.4","0.103","0.131","0.00331","141268","151082","0","0","0"
"135","2160","krill","Const","29","24","0.138","1.081","2.55","0.056","14","0.0362","2","41","26.2","0.226","0.083","0.00251","0","0","166","7.04","118725"
"131","2160","krill","Const","64","19","0.222","0.609","2.66","0.083","14","0.0323","3.6","16","25.9","0.21","0.067","0.00257","0","0","6600","5.32","3141472"
"137","2160","salps","Lognorm","65","25","0.133","0.976","2.9","0.082","7","0.0397","3.6","30","25.3","0.205","0.083","0.0022","522","526.5","0","0","0"
"138","2160","krill","Const","24","21","0.295","0.845","2.33","0.067","5","0.0561","3.4","32","11","0.274","0.099","0.00283","0","0","245","6.01","435055"
"124","2160","both","Const","31","38","0.244","0.586","2.1","0.066","15","0.0557","4","35","15.2","0.232","0.057","0.00221","18301","65653","235","5.75","187644"
"118","2160","salps","Lognorm","52","39","0.301","1.158","2.31","0.096","13","0.0269","2.3","23","27.4","0.278","0.077","0.00286","144726","36656","0","0","0"
"140","2160","krill","Lognorm","46","23","0.26","0.541","1.82","0.062","5","0.0652","4.4","28","19.9","0.177","0.13","0.00272","0","0","10","7.72","0"
"96","2160","salps","Lognorm","33","34","0.3","1.203","1.6","0.038","8","0.0296","2.6","18","14.1","0.238","0.058","0.00299","183466","162701","0","0","0"
"141","2160","krill","Lognorm","57","42","0.238","1.029","2.59","0.052","6","0.0463","3.4","29","23.3","0.249","0.06","0.00199","0","0","1776","4.59","749355"
"143","2160","both","Lognorm","27","28","0.339","0.563","2.47","0.076","5","0.0452","1.6","20","19.4","0.219","0.052","0.00162","5","5","1889","5.26","1320214"
"144","2160","krill","Const","37","30","0.144","0.618","2.15","0.082","8","0.0592","4","20","24.6","0.103","0.076","0.00136","0","0","3","7.72","10046"
"145","2160","krill","Const","38","27","0.168","0.565","1.92","0.078","15","0.0505","2","39","19.3","0.124","0.109","0.00245","0","0","68","5.4","29888"
"139","2160","both","Lognorm","58","20","0.31","0.856","3.42","0.045","6","0.0482","4.2","30","18.5","0.238","0.126","0.00317","10280","2361.5","35","3.76","8634"
"134","2160","both","Const","24","19","0.332","0.454","2.76","0.049","10","0.0279","2.4","21","15.7","0.28","0.053","0.00154","10","323","17436","5.04","14186646"
"150","2160","salps","Const","44","28","0.184","0.915","3.06","0.061","7","0.057","2.3","16","10.1","0.202","0.061","0.00184","13","515.5","0","0","0"
"149","2160","both","Const","45","31","0.126","0.856","3.41","0.073","15","0.0597","2.9","43","20.6","0.131","0.108","0.00269","22","1035","6","4.99","0"
"151","2160","salps","Lognorm","33","26","0.193","0.711","2.8","0.049","15","0.0293","2.3","39","28","0.262","0.086","0.00157","36","503.5","0","0","0"
"148","2160","both","Lognorm","27","23","0.283","0.553","2.97","0.067","9","0.0442","3.8","36","13.5","0.17","0.08","0.00236","5426","1037","52","6.03","20047"
"153","2160","krill","Const","43","41","0.313","0.617","3.51","0.08","12","0.0655","3.7","42","10.9","0.27","0.096","0.00149","0","0","243","5.79","441365"
"146","2160","salps","Lognorm","56","19","0.253","1.17","2.67","0.051","8","0.0419","2","16","15.2","0.192","0.059","0.0025","9325","469.5","0","0","0"
"155","2160","salps","Lognorm","48","28","0.182","0.627","3.05","0.092","13","0.0323","4.3","27","11.6","0.182","0.102","0.00233","7251","617.5","0","0","0"
"147","2160","both","Lognorm","46","37","0.141","1.051","2.4","0.071","5","0.0437","4.4","19","21.2","0.155","0.115","0.00324","5071","25518.5","7","3.99","0"
"156","2160","krill","Const","64","17","0.356","0.945","3.03","0.05","9","0.0735","1.5","38","28.1","0.263","0.058","0.00231","0","0","971","5.52","481044"
"154","2160","salps","Lognorm","66","40","0.212","1.122","3.57","0.103","7","0.032","2.6","37","23.1","0.192","0.057","0.00365","29606","6675","0","0","0"
"133","2160","salps","Const","33","27","0.277","0.884","2.88","0.042","13","0.0459","4.1","20","10.2","0.216","0.055","0.00345","6928","302311","0","0","0"
"158","2160","both","Const","47","26","0.299","1.11","2.92","0.077","6","0.0638","2.8","40","28.2","0.243","0.061","0.0023","5212","12283","725","4.82","393731"
"163","2160","krill","Lognorm","55","34","0.128","0.701","1.99","0.082","10","0.0703","1.6","45","22.7","0.27","0.083","0.00213","0","0","9","4.64","0"
"164","2160","krill","Const","39","32","0.345","0.917","2.09","0.065","11","0.0501","2.1","30","22.1","0.176","0.126","0.00249","0","0","1138","5.3","466788"
"161","2160","salps","Const","67","18","0.358","0.958","3.03","0.095","7","0.0682","3.4","22","19.1","0.285","0.112","0.0027","9589","54910.5","0","0","0"
"152","2160","both","Const","49","38","0.23","0.923","2.49","0.055","7","0.0282","2.3","31","22.6","0.131","0.049","0.00215","16959","239294","43","7.76","18647"
"165","2160","krill","Const","47","19","0.364","0.846","3.73","0.079","11","0.0277","3.8","45","24.3","0.202","0.072","0.00127","0","0","7057","6.38","6061210"
"95","2160","salps","Const","27","44","0.277","1.114","1.37","0.094","7","0.0438","1.5","20","25.5","0.139","0.06","0.00372","597289","572753.5","0","0","0"
"160","2160","both","Const","47","30","0.21","0.477","2.79","0.061","5","0.0325","2","22","29","0.113","0.097","0.00221","12582","144509","8","8.2","0"
"167","2160","krill","Lognorm","37","40","0.156","0.882","1.89","0.09","12","0.0421","3.1","37","29.6","0.221","0.08","0.0016","0","0","60","3.9","21288"
"142","2160","salps","Lognorm","25","28","0.343","0.63","1.71","0.045","5","0.0442","1.6","16","14.4","0.231","0.066","0.00316","184144","123110.5","0","0","0"
"168","2160","krill","Const","62","45","0.128","0.727","1.54","0.056","8","0.051","2.7","22","12.7","0.133","0.127","0.00314","0","0","19","5.74","0"
